Genome_ID	IME_Type	Protein_ID	Percent_Identity	E_value
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	86.31	5.81e-149
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	86.31	5.81e-149
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	100.00	1.29e-180
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	100.00	1.29e-180
NZ_CP018254.1	ICEberg|172_IME	ICEberg|172_IME	86.94	0.00e+00
NZ_CP018254.1	ICEberg|172_IME	ICEberg|172_IME	86.94	0.00e+00
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	89.55	8.27e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	89.55	8.27e-111
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	89.55	2.04e-111
NZ_CP031716.1	ICEberg|172_IME	ICEberg|172_IME	90.24	6.13e-72
NZ_CP091596.1	ICEberg|172_IME	ICEberg|172_IME	90.24	6.13e-72
NZ_CP031716.1	ICEberg|172_IME	ICEberg|172_IME	87.04	2.38e-15
NZ_CP091596.1	ICEberg|172_IME	ICEberg|172_IME	87.04	2.38e-15
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	100.00	3.15e-27
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	100.00	1.29e-180
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	100.00	0.00e+00
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	100.00	1.29e-180
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	99.58	6.18e-124
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	99.58	6.18e-124
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	99.38	3.21e-80
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	97.30	5.03e-18
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	89.19	1.88e-16
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	97.30	5.03e-18
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	89.19	1.88e-16
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	99.63	6.67e-176
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	99.63	6.67e-176
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	98.18	3.03e-30
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	82.69	4.23e-23
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	98.18	3.03e-30
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	82.69	4.23e-23
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	96.13	0.00e+00
NZ_CP019041.1	ICEberg|196_IME	ICEberg|196_IME	99.62	5.51e-172
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	7.48e-150
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	86.69	7.48e-150
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	86.69	1.42e-151
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	86.69	7.48e-150
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	86.69	7.48e-150
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	95.45	6.11e-07
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	95.45	6.11e-07
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	100.00	3.25e-67
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	1.29e-180
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	0.00e+00
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	1.29e-180
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.23e-109
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	5.64e-48
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	5.64e-48
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	99.65	0.00e+00
NZ_CP018254.1	ICEberg|196_IME	ICEberg|196_IME	99.65	0.00e+00
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	98.38	1.93e-115
NZ_CP018254.1	ICEberg|196_IME	ICEberg|196_IME	98.15	1.63e-27
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	99.10	0.00e+00
NZ_CP068253.1	ICEberg|196_IME	ICEberg|196_IME	92.36	1.00e-85
NZ_CP078018.1	ICEberg|196_IME	ICEberg|196_IME	92.36	1.00e-85
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	90.14	8.53e-81
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	90.14	8.53e-81
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	99.38	7.82e-107
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	98.90	6.76e-57
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	82.88	0.00e+00
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	82.88	0.00e+00
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP091367.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP091172.1	ICEberg|196_IME	ICEberg|196_IME	95.24	4.10e-18
NZ_CP041035.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091596.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091596.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP091596.1	ICEberg|196_IME	ICEberg|196_IME	84.48	1.18e-134
NZ_CP091596.1	ICEberg|196_IME	ICEberg|196_IME	84.48	1.18e-134
NZ_CP018254.1	ICEberg|196_IME	ICEberg|196_IME	100.00	4.22e-158
NZ_CP018254.1	ICEberg|196_IME	ICEberg|196_IME	85.78	7.54e-137
NZ_CP018254.1	ICEberg|196_IME	ICEberg|196_IME	85.78	7.54e-137
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
NZ_CP090607.1	ICEberg|196_IME	ICEberg|196_IME	99.57	2.34e-157
