Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
ant(2'')-Ia	99.81	534/534	100	1..534	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	2840712..2841245	Aminoglycoside resistance Alternate name; ant(2'')-Ia	GQ466184
ant(2'')-Ia	99.81	534/534	100	1..534	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	2840712..2841245	Aminoglycoside resistance Alternate name; ant(2'')-Ia	DQ176450
aac(6')-Ig	99.09	438/438	100	1..438	NZ_CP030880.1 Acinetobacter haemolyticus strain HW-2A chromosome, complete genome	2447998..2448435	Aminoglycoside resistance	L09246
aac(6')-Ig	97.72	438/438	100	1..438	NZ_CP031984.1 Acinetobacter haemolyticus strain AN3 chromosome, complete genome	2167431..2167868	Aminoglycoside resistance	L09246
aac(6')-Ig	97.95	438/438	100	1..438	NZ_CP031988.1 Acinetobacter haemolyticus strain 5227 chromosome, complete genome	2465358..2465795	Aminoglycoside resistance	L09246
aac(6')-Ig	98.17	438/438	100	1..438	NZ_CP031991.1 Acinetobacter haemolyticus strain 2126ch chromosome, complete genome	2367317..2367754	Aminoglycoside resistance	L09246
aph(6)-Id	100	837/837	100	1..837	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	278750..279586	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aadA1	100	789/789	100	1..789	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	101540..102328	Aminoglycoside resistance	JQ480156
aadA1	100	789/789	100	1..789	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	1898426..1899214	Aminoglycoside resistance	JQ480156
aadA1	100	789/789	100	1..789	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	1643559..1644347	Aminoglycoside resistance	JQ480156
aph(3')-VIa	100	780/780	100	1..780	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	781606..782385	Aminoglycoside resistance	X07753
aadA1	99.75	792/792	100	1..792	NZ_CP041035.1 Acinetobacter baumannii strain 11W359501 chromosome, complete genome	3856406..3857197	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP041035.1 Acinetobacter baumannii strain 11W359501 chromosome, complete genome	3856406..3857197	Aminoglycoside resistance	JQ414041
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP041035.1 Acinetobacter baumannii strain 11W359501 chromosome, complete genome	3858241..3858774	Aminoglycoside resistance	X15852
aac(6')-Ix	97.73	441/441	100	1..441	NZ_CP041970.1 Acinetobacter dispersus strain NCCP 16014 chromosome, complete genome	135321..135761	Aminoglycoside resistance Alternate name; aac(6')-Ix	AF031332
aph(3')-Ia	100	816/816	100	1..816	NZ_CP044463.1 Acinetobacter schindleri strain HZE23-1 chromosome, complete genome	143900..144715	Aminoglycoside resistance	X62115
aac(3)-IId	99.88	861/861	100	1..861	NZ_CP045198.1 Acinetobacter indicus strain TQ23 chromosome, complete genome	2596921..2597781	Aminoglycoside resistance	EU022314
aph(6)-Id	100	831/831	100	1..831	NZ_CP045198.1 Acinetobacter indicus strain TQ23 chromosome, complete genome	2619432..2620262	Aminoglycoside resistance Alternate name; aph(6)-Id	CP000971
aph(3'')-Ib	99.88	803/804	99.87562189054728	2..804	NZ_CP045198.1 Acinetobacter indicus strain TQ23 chromosome, complete genome	2618624..2619426	Aminoglycoside resistance Alternate name; aph(3'')-Ib	AF024602
aph(3'')-Ib	99.75	804/804	100	1..804	NZ_CP045198.1 Acinetobacter indicus strain TQ23 chromosome, complete genome	2618623..2619426	Aminoglycoside resistance Alternate name; aph(3'')-Ib	AF321551
aph(3'')-Ib	99.75	804/804	100	1..804	NZ_CP045198.1 Acinetobacter indicus strain TQ23 chromosome, complete genome	2618623..2619426	Aminoglycoside resistance Alternate name; aph(3'')-Ib	AF313472
aph(3'')-Ib	99.75	804/804	100	1..804	NZ_CP045198.1 Acinetobacter indicus strain TQ23 chromosome, complete genome	2618623..2619426	Aminoglycoside resistance Alternate name; aph(3'')-Ib	AF321550
aph(6)-Id	100	837/837	100	1..837	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	2146255..2147091	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(3')-Ia	99.88	816/816	100	1..816	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	1069047..1069862	Aminoglycoside resistance	X62115
aadA1	100	792/792	100	1..792	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	1065072..1065863	Aminoglycoside resistance	JQ414041
armA	100	774/774	100	1..774	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	1059610..1060383	Aminoglycoside resistance	AY220558
aac(6')-Ib3	99.64	555/555	100	1..555	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	1066646..1067200	Warning: gene is missing from Notes file. Please inform curator.	X60321
aph(6)-Id	100	837/837	100	1..837	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	3126352..3127188	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aadA1	100	792/792	100	1..792	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	2366287..2367078	Aminoglycoside resistance	JQ414041
aadA2b	99.87	780/780	100	1..780	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	2368692..2369471	Aminoglycoside resistance	D43625
armA	100	774/774	100	1..774	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	2351811..2352584	Aminoglycoside resistance	AY220558
aph(6)-Id	100	837/837	100	1..837	NZ_CP046045.1 Acinetobacter towneri strain 19110F47 chromosome, complete genome	203320..204156	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(3')-Ia	99.51	816/816	100	1..816	NZ_CP046045.1 Acinetobacter towneri strain 19110F47 chromosome, complete genome	163890..164705	Aminoglycoside resistance	X62115
aadA1	100	792/792	100	1..792	NZ_CP046045.1 Acinetobacter towneri strain 19110F47 chromosome, complete genome	170246..171037	Aminoglycoside resistance	JQ414041
aadA2b	99.87	780/780	100	1..780	NZ_CP046045.1 Acinetobacter towneri strain 19110F47 chromosome, complete genome	167853..168632	Aminoglycoside resistance	D43625
aph(6)-Id	98.69	837/837	100	1..837	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	49646..50482	Aminoglycoside resistance Alternate name; aph(6)-Id	AB109805
aph(6)-Id	98.69	837/837	100	1..837	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	49646..50482	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(3')-Ia	100	816/816	100	1..816	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	326044..326859	Aminoglycoside resistance	X62115
aadA2b	99.87	780/780	100	1..780	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	71018..71797	Aminoglycoside resistance	D43625
aadA17	94.82	792/792	100	1..792	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	48022..48813	Aminoglycoside resistance	FJ460181
ant(2'')-Ia	100	534/534	100	1..534	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	51902..52435	Aminoglycoside resistance Alternate name; ant(2'')-Ia	X04555
aph(3')-Ia	100	816/816	100	1..816	NZ_CP060029.1 Acinetobacter baumannii strain AbCTX1 chromosome, complete genome	669311..670126	Aminoglycoside resistance	X62115
aadA5	100	789/789	100	1..789	NZ_CP060029.1 Acinetobacter baumannii strain AbCTX1 chromosome, complete genome	640029..640817	Aminoglycoside resistance	AF137361
armA	100	774/774	100	1..774	NZ_CP060029.1 Acinetobacter baumannii strain AbCTX1 chromosome, complete genome	645510..646283	Aminoglycoside resistance	AY220558
aac(6')-Ian	100	573/573	100	1..573	NZ_CP060029.1 Acinetobacter baumannii strain AbCTX1 chromosome, complete genome	1248714..1249286	Warning: gene is missing from Notes file. Please inform curator.	AP014611
ant(2'')-Ia	100	534/534	100	1..534	NZ_CP060029.1 Acinetobacter baumannii strain AbCTX1 chromosome, complete genome	668727..669260	Aminoglycoside resistance Alternate name; ant(2'')-Ia	X04555
aph(6)-Id	100	837/837	100	1..837	NZ_CP060732.1 Acinetobacter baumannii strain abA1 chromosome, complete genome	238913..239749	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aadA1	100	792/792	100	1..792	NZ_CP060732.1 Acinetobacter baumannii strain abA1 chromosome, complete genome	1657362..1658153	Aminoglycoside resistance	JQ414041
armA	100	774/774	100	1..774	NZ_CP060732.1 Acinetobacter baumannii strain abA1 chromosome, complete genome	1662842..1663615	Aminoglycoside resistance	AY220558
aac(6')-Ib3	99.64	555/555	100	1..555	NZ_CP060732.1 Acinetobacter baumannii strain abA1 chromosome, complete genome	1656025..1656579	Warning: gene is missing from Notes file. Please inform curator.	X60321
aph(6)-Id	100	837/837	100	1..837	NZ_CP076603.1 Acinetobacter schindleri strain MCDA01 chromosome, complete genome	2426787..2427623	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(6)-Id	100	837/837	100	1..837	NZ_CP076812.1 Acinetobacter baumannii strain UC23022 chromosome, complete genome	2949702..2950538	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aadA1	100	789/789	100	1..789	NZ_CP076812.1 Acinetobacter baumannii strain UC23022 chromosome, complete genome	3130909..3131697	Aminoglycoside resistance	JQ480156
aph(3')-VIa	100	780/780	100	1..780	NZ_CP076812.1 Acinetobacter baumannii strain UC23022 chromosome, complete genome	852236..853015	Aminoglycoside resistance	X07753
aph(6)-Id	100	837/837	100	1..837	NZ_CP078027.1 Acinetobacter variabilis strain AV_175 chromosome, complete genome	2780236..2781072	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(3')-VI	100	780/780	100	1..780	NZ_CP078027.1 Acinetobacter variabilis strain AV_175 chromosome, complete genome	323216..323995	Warning: gene is missing from Notes file. Please inform curator.	KC170992
aph(6)-Id	100	837/837	100	1..837	NZ_CP078045.1 Acinetobacter lwoffii strain AL_065 chromosome, complete genome	1262409..1263245	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aadA2b	99.87	780/780	100	1..780	NZ_CP090382.1 Acinetobacter towneri strain SCLZS30 chromosome, complete genome	1628718..1629497	Aminoglycoside resistance	D43625
ant(2'')-Ia	100	534/534	100	1..534	NZ_CP090382.1 Acinetobacter towneri strain SCLZS30 chromosome, complete genome	1375356..1375889	Aminoglycoside resistance Alternate name; ant(2'')-Ia	X04555
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1182883..1183698	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1179806..1180621	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1176729..1177544	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1173652..1174467	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1170575..1171390	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1167498..1168313	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1164421..1165236	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1161344..1162159	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1158267..1159082	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1155190..1156005	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1152113..1152928	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1149036..1149851	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1145959..1146774	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1142882..1143697	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1139805..1140620	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1136728..1137543	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1133651..1134466	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1130574..1131389	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1127497..1128312	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1124420..1125235	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1121343..1122158	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1118266..1119081	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1115189..1116004	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1112112..1112927	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1109035..1109850	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1105958..1106773	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1102881..1103696	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1099804..1100619	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1096727..1097542	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1093650..1094465	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1090573..1091388	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1087496..1088311	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1084419..1085234	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1081342..1082157	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1078265..1079080	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1075188..1076003	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1072111..1072926	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1069034..1069849	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1065957..1066772	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1062880..1063695	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1059803..1060618	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1056726..1057541	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1053649..1054464	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1050572..1051387	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1047495..1048310	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1044418..1045233	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1041341..1042156	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1038264..1039079	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1035187..1036002	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1032110..1032925	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1029033..1029848	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1025956..1026771	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1022879..1023694	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1019802..1020617	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1016725..1017540	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1013648..1014463	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1010571..1011386	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1007494..1008309	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1004417..1005232	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	1001340..1002155	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	998263..999078	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	995186..996001	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	992109..992924	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	989032..989847	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	985955..986770	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	982878..983693	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	979801..980616	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	976724..977539	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	973647..974462	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	970570..971385	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	967493..968308	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	964416..965231	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	961339..962154	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	958262..959077	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	955185..956000	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	250404..251219	Aminoglycoside resistance	X62115
aadA1	99.75	792/792	100	1..792	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	255338..256129	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	255338..256129	Aminoglycoside resistance	JQ414041
aadA1	100	789/789	100	1..789	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	4153779..4154567	Aminoglycoside resistance	JQ480156
aadA1	100	789/789	100	1..789	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	2345090..2345878	Aminoglycoside resistance	JQ480156
aph(6)-Id	100	725/837	86.61887694145759	113..837	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	4157961..4158685	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP090607.1 Acinetobacter baumannii strain MRSN 58 chromosome, complete genome	253761..254294	Aminoglycoside resistance	X15852
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	341664..342479	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	326457..327272	Aminoglycoside resistance	X62115
